Produk,Kertas Bouquet,Gabus,Lidi,Isolasi,Snack,Rokok,Bunga,Pita,Lem Tembak,Uang,Plastik Uang,Frame
bouquet pocky,0.2,0.125,0.09,0.5,0.6,0,0,0,0,0,0,0
bouquet flower medium unggu,0.3,0.17,0.09,0.5,0,0,0.09,0,0,0,0,0
frame besar,0,0,0,0,0,0,0,0,0,0,0,1
bucket red costum,0.3,0.17,0.09,0.5,0,0,0.09,0,0,0,0,0
bouquet snack,0.2,0.125,0.09,0.5,0.6,0,0,0,0,0,0,0
bouquet kopi inc bunga mini,0.2,0.125,0.1,0.5,0.333333333,0,0.05,0,0,0,0,0
frame,0,0,0,0,0,0,0,0,0,0,0,1
frame besar,0,0,0,0,0,0,0,0,0,0,0,1
frame birthday,0,0,0,0,0,0,0,0,0,0,0,1
bouquet flower costum,0.3,0.17,0.09,0.5,0,0,0.09,0,0,0,0,0
bouquet silverqueen mini 4,0.2,0.125,0.04,0.5,0.266666667,0,0,0,0,0,0,0
bouquet koran medium,0.3,0.17,0.09,0.5,0,0,0.09,0,0,0,0,0
bouquet blue 9 bunga,0.3,0.17,0.09,0.5,0,0,0.09,0.5,0,0,0,0
bucket kopi,0.2,0.125,0.09,0.5,0.6,0,0,0,0,0,0,0
bouquet warna ungu medium,0.3,0.17,0.09,0.5,0,0,0.09,0,0,0,0,0
bouquet snack tango,0.2,0.125,0.09,0.5,0.6,0,0,0,0,0,0,0
bouquet bunga mix snack top,0.2,0.125,0.1,0.5,0.333333333,0,0.05,0,0,0,0,0
bouquet snack bangbang,0.2,0.125,0.09,0.5,0.6,0,0,0,0,0,0,0
buckert costum rokok,0.25,0.17,0.07,0.5,0.4,1,0,0,0,0,0,0
bouquet costum foto,0.2,0.125,0.05,0.5,0,0,0,0,0,0,0,0
bouquet kopi,0.2,0.125,0.09,0.5,0.6,0,0,0,0,0,0,0
bouquet model koran tumbelina mini,0.3,0.17,0.09,0.5,0,0,0.09,0,0,0,0,0
frame birthday besar,0,0,0,0,0,0,0,0,0,0,0,1
bouquet silverqueen,0.2,0.125,0.09,0.5,0.6,0,0,0,0,0,0,0
bouquet rose isi 9,0.3,0.17,0.09,0.5,0,0,0.09,0.5,0,0,0,0
bouquet costum merah,0.3,0.17,0.09,0.5,0,0,0.09,0,0,0,0,0
bouquet motif koran,0.3,0.17,0.09,0.5,0,0,0.09,0,0,0,0,0
frame mini,0,0,0,0,0,0,0,0,0,0,0,1
bouquet costum jepit kamboja,0.3,0.17,0.09,0.5,0,0,0.09,0,0,0,0,0
bucket isi 9 bunga,0.3,0.17,0.09,0.5,0,0,0.09,0.5,0,0,0,0
bouquet kopii,0.2,0.125,0.09,0.5,0.6,0,0,0,0,0,0,0
frame costum,0,0,0,0,0,0,0,0,0,0,0,1
bouquet flower medium,0.3,0.17,0.09,0.5,0,0,0.09,0,0,0,0,0
bouquet koran tumbelinna,0.3,0.17,0.09,0.5,0,0,0.09,0,0,0,0,0
bucket costum rokok,0.25,0.17,0.07,0.5,0.4,1,0,0,0,0,0,0
bouquet merah medium,0.3,0.17,0.09,0.5,0,0,0.09,0,0,0,0,0
frame valentine,0,0,0,0,0,0,0,0,0,0,0,1
bouquet koran costum isi 3bunga,0.2,0.125,0.03,0.5,0,0,0.03,0,0,0,0,0
bouquet isi 9 mawar,0.3,0.17,0.09,0.5,0,0,0.09,0.5,0,0,0,0
bouquet snack sip,0.2,0.125,0.09,0.5,0.6,0,0,0,0,0,0,0
frame birthjday,0,0,0,0,0,0,0,0,0,0,0,1
frame valentine besar,0,0,0,0,0,0,0,0,0,0,0,1
costum snack bouquet + flwr,0.2,0.125,0.09,0.5,0.6,0,0,0,0,0,0,0
bouquet red flower,0.3,0.17,0.09,0.5,0,0,0.09,0,0,0,0,0
bouquet tumbelina koran,0.3,0.17,0.09,0.5,0,0,0.09,0,0,0,0,0
bouquet costum snack jumbo,0.4,0.33,0.15,1,1,0,0,1,0,0,0,0
boquet costum rokok,0.25,0.17,0.07,0.5,0.4,1,0,0,0,0,0,0
bouquet flower,0.3,0.17,0.09,0.5,0,0,0.09,0,0,0,0,0
bouquet jumbo mawar 100 pc,1,1,1,1,0,0,1,1,0,0,0,0
bouquet bunga coklat 3,0.2,0.125,0.06,0.5,0.2,0,0.03,0,0,0,0,0
bouquet flower medium red,0.3,0.17,0.09,0.5,0,0,0.09,0,0,0,0,0
bouquet snack coklat mini,0.2,0.125,0.09,0.5,0.6,0,0,0,0,0,0,0
money bouquet,0.3,0.33,0.15,0.5,0,0,0,0.5,1,1,1,0
bucket sip,0.2,0.125,0.09,0.5,0.6,0,0,0,0,0,0,0
bouquet bang bang mix rokok,0.25,0.17,0.07,0.5,0.4,1,0,0,0,0,0,0
snack bouquet,0.2,0.125,0.09,0.5,0.6,0,0,0,0,0,0,0
costum bouquet snack+ rokok,0.25,0.17,0.07,0.5,0.4,1,0,0,0,0,0,0
bucket tumbelina koran,0.3,0.17,0.09,0.5,0,0,0.09,0,0,0,0,0
