Produk,Kertas Bouquet,Gabus,Lidi,Isolasi,Snack,Rokok,Bunga,Pita,Lem Tembak,Uang,Plastik Uang,Frame
bouquet pocky,1,1,1,1,1,0,0,0,0,0,0,0
bouquet flower medium unggu,1,1,1,1,0,0,1,0,0,0,0,0
frame besar,0,0,0,0,0,0,0,0,0,0,0,1
bucket red costum,1,1,1,1,0,0,1,0,0,0,0,0
bouquet snack,1,1,1,1,1,0,0,0,0,0,0,0
bouquet kopi inc bunga mini,1,1,1,1,1,0,1,0,0,0,0,0
frame,0,0,0,0,0,0,0,0,0,0,0,1
frame besar,0,0,0,0,0,0,0,0,0,0,0,1
frame birthday,0,0,0,0,0,0,0,0,0,0,0,1
bouquet flower costum,1,1,1,1,0,0,1,0,0,0,0,0
bouquet silverqueen mini 4,1,1,1,1,1,0,0,0,0,0,0,0
bouquet koran medium,1,1,1,1,0,0,1,0,0,0,0,0
bouquet blue 9 bunga,1,1,1,1,0,0,1,1,0,0,0,0
bucket kopi,1,1,1,1,1,0,0,0,0,0,0,0
bouquet warna ungu medium,1,1,1,1,0,0,1,0,0,0,0,0
bouquet snack tango,1,1,1,1,1,0,0,0,0,0,0,0
bouquet bunga mix snack top,1,1,1,1,1,0,1,0,0,0,0,0
bouquet snack bangbang,1,1,1,1,1,0,0,0,0,0,0,0
buckert costum rokok,1,1,1,1,1,1,0,0,0,0,0,0
bouquet costum foto,1,1,1,1,0,0,0,0,0,0,0,0
bouquet kopi,1,1,1,1,1,0,0,0,0,0,0,0
bouquet model koran tumbelina mini,1,1,1,1,0,0,1,0,0,0,0,0
frame birthday besar,0,0,0,0,0,0,0,0,0,0,0,1
bouquet silverqueen,1,1,1,1,1,0,0,0,0,0,0,0
bouquet rose isi 9,1,1,1,1,0,0,1,1,0,0,0,0
bouquet costum merah,1,1,1,1,0,0,1,0,0,0,0,0
bouquet motif koran,1,1,1,1,0,0,1,0,0,0,0,0
frame mini,0,0,0,0,0,0,0,0,0,0,0,1
bouquet costum jepit kamboja,1,1,1,1,0,0,1,0,0,0,0,0
bucket isi 9 bunga,1,1,1,1,0,0,1,1,0,0,0,0
bouquet kopii,1,1,1,1,1,0,0,0,0,0,0,0
frame costum,0,0,0,0,0,0,0,0,0,0,0,1
bouquet flower medium,1,1,1,1,0,0,1,0,0,0,0,0
bouquet koran tumbelinna,1,1,1,1,0,0,1,0,0,0,0,0
bucket costum rokok,1,1,1,1,1,1,0,0,0,0,0,0
bouquet merah medium,1,1,1,1,0,0,1,0,0,0,0,0
frame valentine,0,0,0,0,0,0,0,0,0,0,0,1
bouquet koran costum isi 3bunga,1,1,1,1,0,0,1,0,0,0,0,0
bouquet isi 9 mawar,1,1,1,1,0,0,1,1,0,0,0,0
bouquet snack sip,1,1,1,1,1,0,0,0,0,0,0,0
frame birthjday,0,0,0,0,0,0,0,0,0,0,0,1
frame valentine besar,0,0,0,0,0,0,0,0,0,0,0,1
costum snack bouquet + flwr,1,1,1,1,1,0,0,0,0,0,0,0
bouquet red flower,1,1,1,1,0,0,1,0,0,0,0,0
bouquet tumbelina koran,1,1,1,1,0,0,1,0,0,0,0,0
bouquet costum snack jumbo,1,1,1,1,1,0,0,1,0,0,0,0
boquet costum rokok,1,1,1,1,1,1,0,0,0,0,0,0
bouquet flower,1,1,1,1,0,0,1,0,0,0,0,0
bouquet jumbo mawar 100 pc,1,1,1,1,0,0,1,1,0,0,0,0
bouquet bunga coklat 3,1,1,1,1,1,0,1,0,0,0,0,0
bouquet flower medium red,1,1,1,1,0,0,1,0,0,0,0,0
bouquet snack coklat mini,1,1,1,1,1,0,0,0,0,0,0,0
money bouquet,1,1,1,1,0,0,0,1,1,1,1,0
bucket sip,1,1,1,1,1,0,0,0,0,0,0,0
bouquet bang bang mix rokok,1,1,1,1,1,1,0,0,0,0,0,0
snack bouquet,1,1,1,1,1,0,0,0,0,0,0,0
costum bouquet snack+ rokok,1,1,1,1,1,1,0,0,0,0,0,0
bucket tumbelina koran,1,1,1,1,0,0,1,0,0,0,0,0
