tanggal,produk,qty,Harga_Jual,Modal,Profit,is_event,event_type
01/01/2025,-,0,0,0,0,TRUE,Tahun Baru Masehi
02/01/2025,bouquet tumbelina koran ,1,88000,53000,35000,FALSE,-
02/01/2025,bouquet model koran tumbelina mini ,1,88000,53000,35000,FALSE,-
03/01/2025,-,0,0,0,0,FALSE,-
04/01/2025,-,0,0,0,0,FALSE,-
05/01/2025,bouquet costum snack jumbo ,1,185000,122000,63000,FALSE,-
06/01/2025,-,0,0,0,0,FALSE,-
07/01/2025,-,0,0,0,0,FALSE,-
08/01/2025,-,0,0,0,0,FALSE,-
09/01/2025,boquet costum rokok ,1,128000,74000,54000,FALSE,-
10/01/2025,-,0,0,0,0,FALSE,-
11/01/2025,-,0,0,0,0,FALSE,-
12/01/2025,-,0,0,0,0,FALSE,-
13/01/2025,-,0,0,0,0,FALSE,-
14/01/2025,-,0,0,0,0,FALSE,-
15/01/2025,-,0,0,0,0,FALSE,-
16/01/2025,-,0,0,0,0,FALSE,-
17/01/2025,-,0,0,0,0,FALSE,-
18/01/2025,-,0,0,0,0,FALSE,-
19/01/2025,-,0,0,0,0,FALSE,-
20/01/2025,-,0,0,0,0,FALSE,-
21/01/2025,-,0,0,0,0,FALSE,-
22/01/2025,-,0,0,0,0,FALSE,-
23/01/2025,-,0,0,0,0,FALSE,-
24/01/2025,-,0,0,0,0,FALSE,-
25/01/2025,-,0,0,0,0,FALSE,-
26/01/2025,-,0,0,0,0,FALSE,-
27/01/2025,-,0,0,0,0,FALSE,-
28/01/2025,frame birthjday,1,78000,35000,43000,FALSE,-
29/01/2025,bouquet kopi ,1,48000,28000,20000,TRUE,Tahun Baru Imlek
29/01/2025,bouquet snack bangbang ,1,64000,37000,27000,TRUE,Tahun Baru Imlek
29/01/2025,bouquet merah medium ,1,65000,35000,30000,TRUE,Tahun Baru Imlek
29/01/2025,boquet costum rokok ,1,128000,74000,54000,TRUE,Tahun Baru Imlek
30/01/2025,-,0,0,0,0,FALSE,-
31/01/2025,bouquet costum snack jumbo ,1,185000,122000,63000,FALSE,-
01/02/2025,-,0,0,0,0,FALSE,-
02/02/2025,-,0,0,0,0,FALSE,-
03/02/2025,-,0,0,0,0,FALSE,-
04/02/2025,-,0,0,0,0,FALSE,-
05/02/2025,-,0,0,0,0,FALSE,-
06/02/2025,frame birthday ,2,156000,70000,86000,FALSE,-
07/02/2025,bouquet warna ungu medium ,1,65000,35000,30000,FALSE,-
08/02/2025,-,0,0,0,0,FALSE,-
09/02/2025,-,0,0,0,0,FALSE,-
10/02/2025,-,0,0,0,0,FALSE,-
11/02/2025,bouquet bunga coklat 3 ,1,125000,86000,39000,FALSE,-
11/02/2025,bouquet jumbo mawar 100 pc ,1,650000,321000,329000,FALSE,-
12/02/2025,-,0,0,0,0,FALSE,-
13/02/2025,frame birthjday,1,78000,35000,43000,FALSE,-
13/02/2025,frame birthjday,1,78000,35000,43000,FALSE,-
14/02/2025,bouquet blue 9 bunga ,1,135000,67000,68000,TRUE,Valentine
14/02/2025,bouquet costum merah ,1,135000,69000,66000,TRUE,Valentine
14/02/2025,frame birthday besar ,2,156000,70000,86000,TRUE,Valentine
14/02/2025,bouquet kopi ,1,48000,28000,20000,TRUE,Valentine
14/02/2025,bouquet kopi inc bunga mini ,2,110000,60000,50000,TRUE,Valentine
14/02/2025,bouquet blue 9 bunga ,2,270000,134000,136000,TRUE,Valentine
14/02/2025,frame birthday ,1,78000,35000,43000,TRUE,Valentine
14/02/2025,bouquet model koran tumbelina mini ,1,88000,53000,35000,TRUE,Valentine
14/02/2025,bouquet kopi inc bunga mini ,1,55000,30000,25000,TRUE,Valentine
14/02/2025,bouquet motif koran ,1,88000,53000,35000,TRUE,Valentine
14/02/2025,frame mini ,1,55000,25000,30000,TRUE,Valentine
14/02/2025,bouquet costum jepit kamboja ,1,64000,39000,25000,TRUE,Valentine
14/02/2025,bouquet model koran tumbelina mini ,1,88000,53000,35000,TRUE,Valentine
14/02/2025,frame besar ,1,78000,35000,43000,TRUE,Valentine
15/02/2025,-,0,0,0,0,FALSE,-
16/02/2025,bouquet snack tango ,1,50000,30000,20000,FALSE,-
16/02/2025,bouquet blue 9 bunga ,1,135000,67000,68000,FALSE,-
17/02/2025,-,0,0,0,0,FALSE,-
18/02/2025,-,0,0,0,0,FALSE,-
19/02/2025,-,0,0,0,0,FALSE,-
20/02/2025,-,0,0,0,0,FALSE,-
21/02/2025,-,0,0,0,0,FALSE,-
22/02/2025,-,0,0,0,0,FALSE,-
23/02/2025,costum snack bouquet + flwr ,1,265000,197000,68000,FALSE,-
24/02/2025,-,0,0,0,0,FALSE,-
25/02/2025,bouquet snack  ,1,45000,25000,20000,FALSE,-
26/02/2025,-,0,0,0,0,FALSE,-
27/02/2025,-,0,0,0,0,FALSE,-
28/02/2025,frame birthday besar ,1,78000,35000,43000,FALSE,-
01/03/2025,-,0,0,0,0,FALSE,-
02/03/2025,bouquet rose isi 9,1,135000,67000,68000,FALSE,-
03/03/2025,-,0,0,0,0,FALSE,-
04/03/2025,-,0,0,0,0,FALSE,-
05/03/2025,-,0,0,0,0,FALSE,-
06/03/2025,-,0,0,0,0,FALSE,-
07/03/2025,frame costum ,1,78000,35000,43000,FALSE,-
08/03/2025,-,0,0,0,0,FALSE,-
09/03/2025,bouquet blue 9 bunga ,1,135000,67000,68000,FALSE,-
10/03/2025,-,0,0,0,0,FALSE,-
11/03/2025,bouquet flower medium ,1,65000,38000,27000,FALSE,-
12/03/2025,-,0,0,0,0,FALSE,-
13/03/2025,-,0,0,0,0,FALSE,-
14/03/2025,-,0,0,0,0,FALSE,-
15/03/2025,-,0,0,0,0,FALSE,-
16/03/2025,-,0,0,0,0,FALSE,-
17/03/2025,-,0,0,0,0,FALSE,-
18/03/2025,-,0,0,0,0,FALSE,-
19/03/2025,-,0,0,0,0,FALSE,-
20/03/2025,-,0,0,0,0,FALSE,-
21/03/2025,-,0,0,0,0,FALSE,-
22/03/2025,-,0,0,0,0,FALSE,-
23/03/2025,-,0,0,0,0,FALSE,-
24/03/2025,-,0,0,0,0,FALSE,-
25/03/2025,-,0,0,0,0,FALSE,-
26/03/2025,-,0,0,0,0,FALSE,-
27/03/2025,-,0,0,0,0,FALSE,-
28/03/2025,bucket isi 9 bunga ,3,405000,201000,204000,FALSE,-
28/03/2025,costum snack bouquet + flwr ,1,265000,197000,68000,FALSE,-
29/03/2025,-,0,0,0,0,FALSE,-
30/03/2025,-,0,0,0,0,FALSE,-
31/03/2025,bouquet snack coklat mini ,1,45000,25000,20000,TRUE,Idul Fitri
31/03/2025,boquet costum rokok ,1,128000,74000,54000,TRUE,Idul Fitri
31/03/2025,bouquet merah medium ,1,65000,35000,30000,TRUE,Idul Fitri
31/03/2025,frame birthday ,1,78000,35000,43000,TRUE,Idul Fitri
31/03/2025,bouquet snack bangbang ,1,64000,37000,27000,TRUE,Idul Fitri
31/03/2025,frame valentine besar ,1,468000,210000,258000,TRUE,Idul Fitri
01/04/2025,bouquet isi 9 mawar ,1,135000,97000,38000,TRUE,Idul Fitri
01/04/2025,bouquet flower medium unggu ,1,65000,35000,30000,TRUE,Idul Fitri
01/04/2025,frame birthday ,2,110000,50000,60000,TRUE,Idul Fitri
01/04/2025,bouquet silverqueen mini 4 ,1,110000,67000,43000,TRUE,Idul Fitri
01/04/2025,bouquet motif koran ,1,88000,53000,35000,TRUE,Idul Fitri
01/04/2025,bouquet flower ,1,77000,54000,23000,TRUE,Idul Fitri
01/04/2025,bouquet jumbo mawar 100 pc ,1,650000,321000,329000,TRUE,Idul Fitri
01/04/2025,frame besar,1,78000,35000,43000,TRUE,Idul Fitri
01/04/2025,bouquet kopi ,1,48000,28000,20000,TRUE,Idul Fitri
01/04/2025,frame birthjday,2,156000,70000,86000,TRUE,Idul Fitri
02/04/2025,-,0,0,0,0,FALSE,-
03/04/2025,-,0,0,0,0,FALSE,-
04/04/2025,bouquet motif koran ,1,88000,53000,35000,FALSE,-
05/04/2025,-,0,0,0,0,FALSE,-
06/04/2025,bouquet koran costum isi 3bunga ,1,38000,15000,23000,FALSE,-
07/04/2025,-,0,0,0,0,FALSE,-
08/04/2025,-,0,0,0,0,FALSE,-
09/04/2025,bouquet isi 9 mawar ,1,135000,97000,38000,FALSE,-
09/04/2025,frame birthjday,3,234000,105000,129000,FALSE,-
10/04/2025,bouquet bunga mix snack top ,2,150000,96000,54000,FALSE,-
10/04/2025,frame ,1,55000,25000,30000,FALSE,-
11/04/2025,-,0,0,0,0,FALSE,-
12/04/2025,-,0,0,0,0,FALSE,-
13/04/2025,frame valentine ,2,110000,50000,60000,FALSE,-
14/04/2025,-,0,0,0,0,FALSE,-
15/04/2025,-,0,0,0,0,FALSE,-
16/04/2025,-,0,0,0,0,FALSE,-
17/04/2025,-,0,0,0,0,FALSE,-
18/04/2025,frame besar ,1,78000,35000,43000,TRUE,Jumat Agung
18/04/2025,bouquet flower ,1,77000,54000,23000,TRUE,Jumat Agung
18/04/2025,bouquet costum merah ,1,135000,69000,66000,TRUE,Jumat Agung
18/04/2025,frame besar ,1,78000,35000,43000,TRUE,Jumat Agung
18/04/2025,bouquet costum merah ,3,405000,207000,198000,TRUE,Jumat Agung
18/04/2025,bouquet pocky ,1,84000,62000,22000,TRUE,Jumat Agung
19/04/2025,-,0,0,0,0,FALSE,-
20/04/2025,bouquet flower ,1,77000,54000,23000,TRUE,Paskah
20/04/2025,frame valentine ,1,55000,25000,30000,TRUE,Paskah
20/04/2025,bucket tumbelina koran ,1,88000,53000,35000,TRUE,Paskah
20/04/2025,bouquet model koran tumbelina mini ,1,88000,53000,35000,TRUE,Paskah
20/04/2025,frame birthday besar ,1,78000,35000,43000,TRUE,Paskah
20/04/2025,bouquet snack tango ,1,50000,30000,20000,TRUE,Paskah
20/04/2025,bouquet costum jepit kamboja ,3,192000,117000,75000,TRUE,Paskah
21/04/2025,-,0,0,0,0,FALSE,-
22/04/2025,bouquet koran medium ,1,65000,38000,27000,FALSE,-
23/04/2025,-,0,0,0,0,FALSE,-
24/04/2025,-,0,0,0,0,FALSE,-
25/04/2025,-,0,0,0,0,FALSE,-
26/04/2025,-,0,0,0,0,FALSE,-
27/04/2025,-,0,0,0,0,FALSE,-
28/04/2025,-,0,0,0,0,FALSE,-
29/04/2025,-,0,0,0,0,FALSE,-
30/04/2025,-,0,0,0,0,FALSE,-
01/05/2025,-,0,0,0,0,TRUE,Hari Buruh
02/05/2025,bouquet pocky ,1,84000,62000,22000,FALSE,-
03/05/2025,frame birthjday,1,78000,35000,43000,FALSE,-
04/05/2025,costum snack bouquet + flwr ,1,265000,197000,68000,FALSE,-
05/05/2025,-,0,0,0,0,FALSE,-
06/05/2025,bouquet isi 9 mawar ,1,135000,97000,38000,FALSE,-
